FromName,ToName,ParentName,Include,Description,DataType,DataLength,,
Wikipedia,Wikipedia,,FALSE,,,,,
Wikipedia.WikipediaId,WikipediaId,,FALSE,,GUID,,,
Wikipedia.Name,Name,,FALSE,,TEXT,50,,
Wikipedia.Description,Description,,FALSE,,TEXT,500,,
Morse,Morse,,FALSE,,,,,
Morse.MorseId,MorseId,,FALSE,,GUID,,,
Morse.Name,Name,,FALSE,,TEXT,50,,
Morse.Description,Description,,FALSE,,TEXT,500,,
Samuel,Samuel,,FALSE,,,,,
Samuel.SamuelId,SamuelId,,FALSE,,GUID,,,
Samuel.Name,Name,,FALSE,,TEXT,50,,
Samuel.Description,Description,,FALSE,,TEXT,500,,
Samuelfbmorse,Samuelfbmorse,,FALSE,,,,,
Samuelfbmorse.SamuelfbmorseId,SamuelfbmorseId,,FALSE,,GUID,,,
Samuelfbmorse.Name,Name,,FALSE,,TEXT,50,,
Samuelfbmorse.Description,Description,,FALSE,,TEXT,500,,
International,International,,FALSE,,,,,
International.InternationalId,InternationalId,,FALSE,,GUID,,,
International.Name,Name,,FALSE,,TEXT,50,,
International.Description,Description,,FALSE,,TEXT,500,,
Roman,Roman,,FALSE,,,,,
Roman.RomanId,RomanId,,FALSE,,GUID,,,
Roman.Name,Name,,FALSE,,TEXT,50,,
Roman.Description,Description,,FALSE,,TEXT,500,,
English,English,,FALSE,,,,,
English.EnglishId,EnglishId,,FALSE,,GUID,,,
English.Name,Name,,FALSE,,TEXT,50,,
English.Description,Description,,FALSE,,TEXT,500,,
Aeronautical,Aeronautical,,FALSE,,,,,
Aeronautical.AeronauticalId,AeronauticalId,,FALSE,,GUID,,,
Aeronautical.Name,Name,,FALSE,,TEXT,50,,
Aeronautical.Description,Description,,FALSE,,TEXT,500,,
Aviation,Aviation,,FALSE,,,,,
Aviation.AviationId,AviationId,,FALSE,,GUID,,,
Aviation.Name,Name,,FALSE,,TEXT,50,,
Aviation.Description,Description,,FALSE,,TEXT,500,,
Cable,Cable,,TRUE,,,,,
Cable.CableId,CableId,,TRUE,,GUID,,,
Cable.Name,Name,,TRUE,,TEXT,50,,
Cable.Description,Description,,TRUE,,TEXT,500,,
Farnsworth,Farnsworth,,FALSE,,,,,
Farnsworth.FarnsworthId,FarnsworthId,,FALSE,,GUID,,,
Farnsworth.Name,Name,,FALSE,,TEXT,50,,
Farnsworth.Description,Description,,FALSE,,TEXT,500,,
Learning,Learning,,FALSE,,,,,
Learning.LearningId,LearningId,,FALSE,,GUID,,,
Learning.Name,Name,,FALSE,,TEXT,50,,
Learning.Description,Description,,FALSE,,TEXT,500,,
Mnemonic,Mnemonic,,TRUE,,,,,
Mnemonic.MnemonicId,MnemonicId,,TRUE,,GUID,,,
Mnemonic.Name,Name,,TRUE,,TEXT,50,,
Mnemonic.Description,Description,,TRUE,,TEXT,500,,
Encyclopedia,Encyclopedia,,FALSE,,,,,
Encyclopedia.EncyclopediaId,EncyclopediaId,,FALSE,,GUID,,,
Encyclopedia.Name,Name,,FALSE,,TEXT,50,,
Encyclopedia.Description,Description,,FALSE,,TEXT,500,,
Jump,Jump,,FALSE,,,,,
Jump.JumpId,JumpId,,FALSE,,GUID,,,
Jump.Name,Name,,FALSE,,TEXT,50,,
Jump.Description,Description,,FALSE,,TEXT,500,,
Navigation,Navigation,,FALSE,,,,,
Navigation.NavigationId,NavigationId,,FALSE,,GUID,,,
Navigation.Name,Name,,FALSE,,TEXT,50,,
Navigation.Description,Description,,FALSE,,TEXT,500,,
Head,Head,,FALSE,,,,,
Head.HeadId,HeadId,,FALSE,,GUID,,,
Head.Name,Name,,FALSE,,TEXT,50,,
Head.Description,Description,,FALSE,,TEXT,500,,
Search,Search,,FALSE,,,,,
Search.SearchId,SearchId,,FALSE,,GUID,,,
Search.Name,Name,,FALSE,,TEXT,50,,
Search.Description,Description,,FALSE,,TEXT,500,,
Uploadwikimediaorgwikipediacommonsthumbbbinternationalmorsecodesvgpxinternationalmorsecodesvgpng,Uploadwikimediaorgwikipediacommonsthumbbbinternationalmorsecodesvgpxinternationalmorsecodesvgpng,,FALSE,,,,,
Uploadwikimediaorgwikipediacommonsthumbbbinternationalmorsecodesvgpxinternationalmorsecodesvgpng.UploadwikimediaorgwikipediacommonsthumbbbinternationalmorsecodesvgpxinternationalmorsecodesvgpngId,UploadwikimediaorgwikipediacommonsthumbbbinternationalmorsecodesvgpxinternationalmorsecodesvgpngId,,FALSE,,GUID,,,
Uploadwikimediaorgwikipediacommonsthumbbbinternationalmorsecodesvgpxinternationalmorsecodesvgpng.Name,Name,,FALSE,,TEXT,50,,
Uploadwikimediaorgwikipediacommonsthumbbbinternationalmorsecodesvgpxinternationalmorsecodesvgpng.Description,Description,,FALSE,,TEXT,500,,
Fileinternationalmorsecodesvg,Fileinternationalmorsecodesvg,,FALSE,,,,,
Fileinternationalmorsecodesvg.FileinternationalmorsecodesvgId,FileinternationalmorsecodesvgId,,FALSE,,GUID,,,
Fileinternationalmorsecodesvg.Name,Name,,FALSE,,TEXT,50,,
Fileinternationalmorsecodesvg.Description,Description,,FALSE,,TEXT,500,,
Chart,Chart,,TRUE,,,,,
Chart.ChartId,ChartId,,TRUE,,GUID,,,
Chart.Name,Name,,TRUE,,TEXT,50,,
Chart.Description,Description,,TRUE,,TEXT,500,,
Code,Code,,TRUE,,,,,
Code.CodeId,CodeId,,TRUE,,GUID,,,
Code.Name,Name,,TRUE,,TEXT,50,,
Code.Description,Description,,TRUE,,TEXT,500,,
Itur,Itur,,FALSE,,,,,
Itur.IturId,IturId,,FALSE,,GUID,,,
Itur.Name,Name,,FALSE,,TEXT,50,,
Itur.Description,Description,,FALSE,,TEXT,500,,
Method,Method,,FALSE,,,,,
Method.MethodId,MethodId,,FALSE,,GUID,,,
Method.Name,Name,,FALSE,,TEXT,50,,
Method.Description,Description,,FALSE,,TEXT,500,,
Text,Text,,FALSE,,,,,
Text.TextId,TextId,,FALSE,,GUID,,,
Text.Name,Name,,FALSE,,TEXT,50,,
Text.Description,Description,,FALSE,,TEXT,500,,
Writtenlanguage,Writtenlanguage,,FALSE,,,,,
Writtenlanguage.WrittenlanguageId,WrittenlanguageId,,FALSE,,GUID,,,
Writtenlanguage.Name,Name,,FALSE,,TEXT,50,,
Writtenlanguage.Description,Description,,FALSE,,TEXT,500,,
Information,Information,,FALSE,,,,,
Information.InformationId,InformationId,,FALSE,,GUID,,,
Information.Name,Name,,FALSE,,TEXT,50,,
Information.Description,Description,,FALSE,,TEXT,500,,
Series,Series,,FALSE,,,,,
Series.SeriesId,SeriesId,,FALSE,,GUID,,,
Series.Name,Name,,FALSE,,TEXT,50,,
Series.Description,Description,,FALSE,,TEXT,500,,
Listener,Listener,,TRUE,,,,,
Listener.ListenerId,ListenerId,,TRUE,,GUID,,,
